,IATA Code,AccentCity,Region,Population,Latitude,Longitude
0,ATL,Atlanta,GA,422908.0,33.7488889,-84.3880556
1,LAX,Los Angeles,CA,3877129.0,34.0522222,-118.2427778
2,ORD,Chicago,IL,2841952.0,41.85,-87.65
3,MDW,Chicago,IL,2841952.0,41.85,-87.65
4,DFW,Dallas,TX,1211704.0,32.7833333,-96.8
5,JFK,New York,NY,8107916.0,40.7141667,-74.0063889
6,LGA,New York,NY,8107916.0,40.7141667,-74.0063889
7,DEN,Denver,CO,555981.0,39.7391667,-104.9841667
8,SFO,San Francisco,CA,732072.0,37.775,-122.4183333
9,CLT,Charlotte,NC,598351.0,35.2269444,-80.8433333
10,LAS,Las Vegas,NV,540111.0,36.175,-115.1363889
11,PHX,Phoenix,AZ,1428509.0,33.4483333,-112.0733333
12,IAH,Houston,TX,2027712.0,29.7630556,-95.3630556
13,MIA,Miami,FL,382894.0,25.7738889,-80.1938889
14,SEA,Seattle,WA,569369.0,47.6063889,-122.3308333
15,EWR,Newark,NJ,280123.0,40.7355556,-74.1727778
16,MCO,Orlando,FL,207970.0,28.5380556,-81.3794444
17,MSP,Minneapolis,MN,367773.0,44.98,-93.2636111
18,DTW,Detroit,MI,884941.0,42.3313889,-83.0458333
19,BOS,Boston,MA,571281.0,42.3583333,-71.0602778
20,PHL,Philadelphia,PA,1453268.0,39.9522222,-75.1641667
21,FLL,Fort Lauderdale,FL,170510.0,26.1219444,-80.1436111
22,BWI,Baltimore,MD,610892.0,39.2902778,-76.6125
25,SLC,Salt Lake City,UT,178026.0,40.7608333,-111.8902778
26,HNL,Honolulu,HI,384241.0,21.3069444,-157.8583333
27,SAN,San Diego,CA,1287050.0,32.7152778,-117.1563889
28,TPA,Tampa,FL,324465.0,27.9472222,-82.4586111
29,PDX,Portland,OR,540513.0,45.5236111,-122.675
