IATA Code,ATL,LAX,ORD,MDW,DFW,JFK,LGA,DEN,SFO,CLT,LAS,PHX,IAH,MIA,SEA,EWR,MCO,MSP,DTW,BOS,PHL,FLL,BWI,SLC,HNL,SAN,TPA,PDX
ATL,0.0,3116.97426351,943.737038448,943.737038448,1160.67840832,1201.0860204,1201.0860204,1950.3822666,3444.32401696,364.513700398,2809.3884961,2562.10135321,1129.00653554,972.368256582,3511.87728231,1191.29824912,644.957390703,1460.72369154,959.858634518,1507.27825485,1071.60836277,939.269234209,928.385258409,2548.64019275,7241.96348015,3043.54892131,669.124565233,3496.86380996
LAX,3116.97426351,0.0,2807.37519024,2807.37519024,1995.70989197,3944.30080075,3944.30080075,1337.74731197,559.039734935,3411.1555272,368.276128984,575.445417916,2210.74656529,3764.1639804,1543.61234544,3930.1204767,3543.15256771,2452.25837699,3191.83191826,4178.58539295,3851.9545024,3753.69852091,3733.35522486,932.507469627,4125.06397541,179.456397534,3465.7327279,1328.49002042
ORD,943.737038448,2807.37519024,0.0,0.0,1290.77185282,1148.70602547,1148.70602547,1478.96464996,2990.47543749,944.143038488,2450.91289717,2337.79852723,1509.8785656,1910.17492501,2795.83105255,1134.45240019,1582.27481573,572.156148677,384.601703548,1371.21077781,1071.93701123,1875.47728523,976.091431861,2026.87073097,6846.81708342,2789.00135857,1612.8586746,2830.37498647
MDW,943.737038448,2807.37519024,0.0,0.0,1290.77185282,1148.70602547,1148.70602547,1478.96464996,2990.47543749,944.143038488,2450.91289717,2337.79852723,1509.8785656,1910.17492501,2795.83105255,1134.45240019,1582.27481573,572.156148677,384.601703548,1371.21077781,1071.93701123,1875.47728523,976.091431861,2026.87073097,6846.81708342,2789.00135857,1612.8586746,2830.37498647
DFW,1160.67840832,1995.70989197,1290.77185282,1290.77185282,0.0,2209.20995088,2209.20995088,1065.18036558,2387.3875391,1497.04437764,1723.09565753,1426.09846224,361.738700227,1788.02149871,2705.38553981,2196.38735775,1549.27356465,1387.95437369,1608.66152129,2496.75302344,2091.42842764,1773.68543071,1951.95026404,1608.43997828,6108.17436557,1904.78495785,1477.5896375,2628.09095557
JFK,1201.0860204,3944.30080075,1148.70602547,1148.70602547,2209.20995088,0.0,0.0,2625.07286345,4138.99046958,854.930679387,3592.69754216,3450.85653593,2282.87864477,1753.2522964,3875.41578218,14.2564644062,1509.06956647,1639.37558015,775.162681042,306.217338268,129.758861965,1714.98217825,272.961403663,3174.58297924,7994.69785411,3914.9273974,1613.80093021,3935.41000117
LGA,1201.0860204,3944.30080075,1148.70602547,1148.70602547,2209.20995088,0.0,0.0,2625.07286345,4138.99046958,854.930679387,3592.69754216,3450.85653593,2282.87864477,1753.2522964,3875.41578218,14.2564644062,1509.06956647,1639.37558015,775.162681042,306.217338268,129.758861965,1714.98217825,272.961403663,3174.58297924,7994.69785411,3914.9273974,1613.80093021,3935.41000117
DEN,1950.3822666,1337.74731197,1478.96464996,1478.96464996,1065.18036558,2625.07286345,2625.07286345,0.0,1528.5200253,2185.84448739,975.210481241,942.599097049,1412.61980324,2776.72478619,1643.89696835,2610.82340007,2495.28518874,1125.822125,1861.78097357,2847.86681221,2540.27293192,2755.94813609,2430.09289107,598.264415463,5382.08857953,1341.4649754,2450.22448745,1582.59150237
SFO,3444.32401696,559.039734935,2990.47543749,2990.47543749,2387.3875391,4138.99046958,4138.99046958,1528.5200253,0.0,3704.83116398,672.056453933,1052.18790436,2647.71186633,4175.3025201,1092.16240034,4124.74308841,3929.37491482,2550.62035428,3366.91711817,4344.13212589,4060.21487759,4161.05145225,3954.39365313,966.368876525,3857.09344417,737.598052035,3863.57054158,860.876792535
CLT,364.513700398,3411.1555272,944.143038488,944.143038488,1497.04437764,854.930679387,854.930679387,2185.84448739,3704.83116398,0.0,3089.18726076,2868.68626201,1491.05046577,1049.83042369,3678.18330435,846.404301959,743.427752718,1511.27989602,811.479001146,1160.04266369,725.370696845,1011.64099,586.549219752,2779.97834754,7532.36615458,3348.87030026,821.567239748,3684.95971267
LAS,2809.3884961,368.276128984,2450.91289717,2450.91289717,1723.09565753,3592.69754216,3592.69754216,975.210481241,672.056453933,3089.18726076,0.0,412.31374052,1975.98755022,3509.19974335,1401.56768927,3578.47852487,3270.23380415,2084.80450249,2834.79736782,3821.49144145,3503.3640101,3495.88538284,3387.80545982,582.457676005,4443.89017497,426.296970746,3200.67997725,1216.04441496
PHX,2562.10135321,575.445417916,2337.79852723,2337.79852723,1426.09846224,3450.85653593,3450.85653593,942.599097049,1052.18790436,2868.68626201,412.31374052,0.0,1635.45884623,3188.87353302,1792.76909305,3436.85264199,2970.54555025,2059.53615115,2720.59015911,3701.23395967,3351.17815364,3178.59741359,3226.16319833,811.703958774,4684.08138996,481.449318416,2891.60968534,1618.30219202
IAH,1129.00653554,2210.74656529,1509.8785656,1509.8785656,361.738700227,2282.87864477,2282.87864477,1412.61980324,2647.71186633,1491.05046577,1975.98755022,1635.45884623,0.0,1557.77762928,3042.73160805,2271.22518028,1366.47606276,1698.91522309,1778.28612964,2583.01208991,2157.72282647,1549.81793952,2013.81187055,1930.77475551,6277.80984756,2097.9496249,1274.41255338,2953.98434908
